id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-01-18 22:26:09,"{""short_code"":""LReho4"",""original_url"":""https://example.com/urban/lagoon/1""}"
2,2,201,created,2025-08-19 00:00:25,"{""short_code"":""Bh0KkV"",""original_url"":""https://seeded.app/ivory/window/2""}"
3,3,243,created,2025-05-28 23:18:59,"{""short_code"":""bRluzS"",""original_url"":""https://relay.cloud/dawn/quartz/3""}"
4,4,323,created,2025-05-17 17:04:09,"{""short_code"":""F0ZRLJ"",""original_url"":""https://relay.cloud/tidy/garden/4""}"
5,5,136,created,2025-07-17 02:58:59,"{""short_code"":""UUJZAd"",""original_url"":""https://opswise.net/warm/harvest/5""}"
6,6,346,created,2025-03-06 12:29:48,"{""short_code"":""3UpeHN"",""original_url"":""https://example.com/silver/signal/6""}"
7,7,391,created,2025-11-21 21:46:12,"{""short_code"":""Red7hJ"",""original_url"":""https://seeded.app/quiet/journey/7""}"
8,8,285,created,2025-10-05 11:52:02,"{""short_code"":""f6NI8J"",""original_url"":""https://hackstack.io/opal/valley/8""}"
9,9,296,created,2025-08-11 17:33:03,"{""short_code"":""YUOau9"",""original_url"":""https://seeded.app/proud/garden/9""}"
10,10,362,created,2025-01-13 23:37:46,"{""short_code"":""z1DMWv"",""original_url"":""https://acme.dev/gold/kernel/10""}"
11,11,9,created,2025-08-10 02:00:21,"{""short_code"":""Ewvl7K"",""original_url"":""https://seeded.app/brisk/meadow/11""}"
12,12,211,created,2026-02-01 07:43:00,"{""short_code"":""rKNJFC"",""original_url"":""https://opswise.net/tidy/yard/12""}"
13,13,115,created,2025-05-04 23:00:19,"{""short_code"":""7hfUNA"",""original_url"":""https://seeded.app/dawn/window/13""}"
14,14,311,created,2025-12-18 18:33:45,"{""short_code"":""T4Gmbd"",""original_url"":""https://hackstack.io/mellow/anchor/14""}"
15,15,10,created,2025-04-20 09:03:07,"{""short_code"":""WWbMxh"",""original_url"":""https://seeded.app/navy/quartz/15""}"
16,16,8,created,2025-04-25 16:49:14,"{""short_code"":""CELXsj"",""original_url"":""https://opswise.net/clear/trail/16""}"
17,17,163,created,2025-08-04 03:10:13,"{""short_code"":""Bs0lgq"",""original_url"":""https://example.com/calm/valley/17""}"
